Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
0.0,0.0,0.0
0.01,-8.636105226043453e-05,-8.636105212251902e-05
0.02,-2.1396956149366357e-05,-2.139695447152021e-05
0.03,0.0001962268224070714,0.00019622682645403192
0.04,0.00041417494498921644,0.0004141749459221132
0.05,0.0004718061186496207,0.00047180610565094683
0.06,0.00035274888430189235,0.0003527488519384183
0.07,0.00019806880131763234,0.00019806875448104573
0.08,0.00016936974850936535,0.00016936968869629866
0.09,0.0002952737872588026,0.00029527369687930223
0.1,0.0004483866308288956,0.0004483864877948383
0.11,0.0004720837539399654,0.00047208357419826466
0.12,0.00033234201373092006,0.0003323418662848596
0.13,0.00014813284226656003,0.0001481327875977447
0.14,7.338472563188136e-05,7.338471663568169e-05
0.15,0.00014695596644800354,0.00014695582977796443
0.16,0.0002560660678130641,0.0002560656345196685
0.17,0.0002471295022805057,0.0002471287914745236
0.18,7.540152210442667e-05,7.540077464466164e-05
0.19,-0.00015110720344476284,-0.00015110773126269259
0.2,-0.00027439601472109706,-0.00027439632283516376
0.21,-0.00023545133614566812,-0.0002354517098918442
0.22,-0.00012621344240434498,-0.00012621413523266635
0.23,-9.67178654050379e-05,-9.671872185246957e-05
0.24,-0.00020926361073513874,-0.00020926407292931013
0.25,-0.0003804978393088237,-0.0003804974500966294
0.26,-0.000465149165261689,-0.0004651481263190806
0.27,-0.00039788522565101545,-0.0003978843833165739
0.28,-0.0002552505136871081,-0.00025525063576132076
0.29,-0.0001789507723530617,-0.00017895174278733959
0.3,-0.0002364271893685824,-0.00023642797882151808
0.31,-0.000354217628987123,-0.0003542172236994188
0.32,-0.0003878380033156751,-0.00038783646257055274
0.33,-0.00025980846424141754,-0.0002598069858171678
0.34,-3.290210079736568e-05,-3.2901859803998576e-05
0.35000000000000003,0.0001503115203318808,0.0001503106942586816
0.36,0.00020151274973787808,0.00020151243168176042
0.37,0.00016500813207954987,0.0001650098054238897
0.38,0.0001672590869010781,0.00016726244050403058
0.39,0.0002896077586929733,0.0002896105786361177
0.4,0.0004890210908457328,0.0004890211323857283
0.41000000000000003,0.0006428955998619275,0.0006428927754648833
0.42,0.0006726030634176152,0.0006725996970699314
0.43,0.0006245616943195633,0.0006245603072012635
0.44,0.0006296667101240154,0.0006296673208337931
0.45,0.0007798047141294732,0.0007798044046373028
0.46,0.0010394815692092551,0.0010394770488912058
0.47000000000000003,0.0012756944465903137,0.0012756853133160347
0.48,0.0013753297596915794,0.001375319167936783
0.49,0.0013370469105586195,0.0013370386898158312
0.5,0.0012521462374073208,0.0012521411019587104
0.51,0.0011977857660515636,0.0011977805001785113
0.52,0.0011499271033676881,0.0011499179290247149
0.53,0.0010021139540767699,0.0010021010453449975
0.54,0.0006718584396313809,0.0006718469844558618
0.55,0.00019090781370817127,0.0001909040548927131
